GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ABBREVIATION_HOME,SEASON_ID_HOME,PTS_5G_AVG_HOME,FG_PCT_5G_AVG_HOME,FG3_PCT_5G_AVG_HOME,FT_PCT_5G_AVG_HOME,REB_5G_AVG_HOME,AST_5G_AVG_HOME,TOV_5G_AVG_HOME,PLUS_MINUS_5G_AVG_HOME,WIN_5G_AVG_HOME,GAME_DATE_AWAY,TEAM_ID_AWAY,TEAM_ABBREVIATION_AWAY,SEASON_ID_AWAY,PTS_5G_AVG_AWAY,FG_PCT_5G_AVG_AWAY,FG3_PCT_5G_AVG_AWAY,FT_PCT_5G_AVG_AWAY,REB_5G_AVG_AWAY,AST_5G_AVG_AWAY,TOV_5G_AVG_AWAY,PLUS_MINUS_5G_AVG_AWAY,WIN_5G_AVG_AWAY,TARGET_WIN_HOME,TARGET_PLUS_MINUS_HOME,DIFF_PTS_5G_AVG,DIFF_FG_PCT_5G_AVG,DIFF_FG3_PCT_5G_AVG,DIFF_FT_PCT_5G_AVG,DIFF_REB_5G_AVG,DIFF_AST_5G_AVG,DIFF_TOV_5G_AVG,DIFF_PLUS_MINUS_5G_AVG,DIFF_WIN_5G_AVG,ELO_HOME,ELO_AWAY,DIFF_ELO
21400036,2014-11-01,1610612760,OKC,22014,89.5,0.419,0.2055,0.8160000000000001,45.0,21.0,17.5,-10.0,0.0,2014-11-01,1610612743,DEN,22014,89.0,0.353,0.25,0.742,51.0,17.0,15.0,10.0,1.0,1,11.0,0.5,0.066,-0.04450000000000001,0.07400000000000007,-6.0,4.0,2.5,-20.0,-1.0,1500.0,1500.0,0.0
21400032,2014-11-01,1610612737,ATL,22014,102.0,0.5,0.591,0.529,42.0,26.0,17.0,-7.0,0.0,2014-11-01,1610612754,IND,22014,96.0,0.46399999999999997,0.35050000000000003,0.746,48.0,20.5,17.5,2.0,0.5,1,10.0,6.0,0.03600000000000003,0.24049999999999994,-0.21699999999999997,-6.0,5.5,-0.5,-9.0,-0.5,1500.0,1487.366632415434,12.633367584566031
21400035,2014-11-01,1610612750,MIN,22014,99.0,0.47,0.45,0.7090000000000001,45.0,19.0,17.5,1.0,0.5,2014-11-01,1610612741,CHI,22014,106.0,0.48150000000000004,0.3555,0.7989999999999999,44.5,23.0,17.0,9.0,0.5,0,-1.0,-7.0,-0.011500000000000066,0.09450000000000003,-0.08999999999999986,0.5,-4.0,0.5,-8.0,0.0,1505.1542213312857,1489.2403289981896,15.9138923330961
21400031,2014-11-01,1610612764,WAS,22014,100.0,0.484,0.42700000000000005,0.7384999999999999,36.5,21.0,13.0,-2.5,0.5,2014-11-01,1610612749,MIL,22014,99.5,0.4485,0.4375,0.723,45.0,25.0,16.0,5.0,0.5,1,11.0,0.5,0.035499999999999976,-0.010499999999999954,0.015499999999999958,-8.5,-4.0,-3.0,-7.5,0.0,1511.7059047121838,1507.7560761374189,3.949828574764979
21400038,2014-11-01,1610612744,GSW,22014,95.0,0.44,0.222,0.719,44.0,21.0,22.0,18.0,1.0,2014-11-01,1610612747,LAL,22014,100.0,0.432,0.3193333333333333,0.783,38.0,20.0,12.666666666666666,-15.0,0.0,1,23.0,-5.0,0.008000000000000007,-0.0973333333333333,-0.06400000000000006,6.0,1.0,9.333333333333334,33.0,1.0,1500.0,1488.2940952878162,11.705904712183838
21400037,2014-11-01,1610612762,UTA,22014,97.5,0.4515,0.28350000000000003,0.8565,37.0,19.0,14.5,-14.5,0.0,2014-11-01,1610612756,PHX,22014,106.5,0.47550000000000003,0.3055,0.784,45.0,19.0,10.5,12.5,1.0,1,27.0,-9.0,-0.02400000000000002,-0.021999999999999964,0.07250000000000001,-8.0,0.0,4.0,-27.0,-1.0,1489.848166361489,1504.6907365938187,-14.842570232329763
21400034,2014-11-01,1610612745,HOU,22014,106.0,0.472,0.4665,0.6970000000000001,41.0,20.0,15.5,14.5,1.0,2014-11-01,1610612738,BOS,22014,121.0,0.557,0.364,0.652,35.0,28.0,12.0,16.0,1.0,1,14.0,-15.0,-0.08500000000000008,0.10250000000000004,0.04500000000000004,6.0,-8.0,3.5,-1.5,0.0,1500.0,1500.0,0.0
21400033,2014-11-01,1610612765,DET,22014,85.0,0.39349999999999996,0.28200000000000003,0.597,45.5,17.5,13.5,-8.0,0.0,2014-11-01,1610612751,BKN,22014,105.0,0.488,0.368,0.769,39.0,20.0,20.0,-16.0,0.0,0,-12.0,-20.0,-0.09450000000000003,-0.08599999999999997,-0.17200000000000004,6.5,-2.5,-6.5,8.0,0.0,1494.8457786687143,1500.0,-5.154221331285726
21400040,2014-11-02,1610612748,MIA,22014,110.5,0.4875,0.4105,0.78,39.5,26.5,15.0,15.0,1.0,2014-11-02,1610612761,TOR,22014,108.5,0.40449999999999997,0.249,0.8049999999999999,49.0,19.5,8.0,10.0,1.0,1,5.0,2.0,0.08300000000000002,0.16149999999999998,-0.02499999999999991,-9.5,7.0,7.0,5.0,0.0,1520.710083535452,1516.4642006622814,4.245882873170558
21400039,2014-11-02,1610612746,LAC,22014,105.5,0.435,0.2985,0.792,34.5,21.0,12.5,5.0,1.0,2014-11-02,1610612758,SAC,22014,90.0,0.364,0.28350000000000003,0.8145,49.5,13.5,18.0,-4.5,0.5,0,-6.0,15.5,0.07100000000000001,0.014999999999999958,-0.022499999999999964,-15.0,7.5,-5.5,9.5,0.5,1511.7059047121838,1506.4880479857554,5.217856726428408
